----------------------------------------------------------------
### SELECT a1,a4,a5,a6,a7,a8,a9,a10,a11 WHERE a1 == "National" ###
----------------------------------------------------------------
geoid,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza
National,0-17 years,2013-14,201342,2,18,20,679,2.9455081001
National,65 years and older,2013-14,201422,7,2603,2610,35177,7.4196207749
National,18-64 years,2016-17,201731,2,498,500,13210,3.785011355
National,18-64 years,2009-10,201005,14,663,677,12289,5.5089917813
National,0-17 years,2012-13,201313,5,11,16,684,2.3391812865
National,All,2010-11,201117,13,3692,3705,47521,7.7965531028
National,18-64 years,2016-17,201722,5,544,549,13375,4.1046728972
National,18-64 years,2015-16,201624,6,513,519,13044,3.9788408464
National,0-17 years,2010-11,201131,1,5,6,764,0.7853403141
National,18-64 years,2011-12,201206,7,695,702,12622,5.5617176359
National,18-64 years,2012-13,201310,23,718,741,13029,5.6873129173
National,0-17 years,2012-13,201318,2,23,25,714,3.5014005602
National,65 years and older,2012-13,201250,76,3263,3339,37729,8.8499562671
National,0-17 years,2012-13,201314,2,25,27,674,4.0059347181
National,18-64 years,2009-10,201009,19,717,736,12489,5.8931860037
National,All,2012-13,201303,633,5938,6571,59168,11.105665224
National,All,2014-15,201534,5,2906,2911,48515,6.0002061218
National,All,2016-17,201728,4,3047,3051,49973,6.1052968603
National,18-64 years,2012-13,201250,11,675,686,12912,5.3128872367
National,All,2013-14,201350,68,3856,3924,51848,7.5682765005
National,0-17 years,2014-15,201501,11,20,31,697,4.4476327116
National,0-17 years,2013-14,201340,2,13,15,671,2.2354694486
National,0-17 years,2013-14,201340,2,13,15,671,2.2354694486
