----------------------------------------------------------------
### SELECT a1,a4,a5,a6,a7,a8,a9,a10,a11 WHERE a1 == "National" ###
----------------------------------------------------------------
geoid,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza
National,All,2009-10,200948,126,3779,3905,47806,8.1684307409
National,18-64 years,2012-13,201304,68,807,875,13235,6.611258028
National,0-17 years,2012-13,201251,2,27,29,702,4.1310541311
National,0-17 years,2015-16,201547,0,18,18,685,2.6277372263
National,All,2013-14,201436,1,2966,2967,47473,6.2498683462
National,18-64 years,2016-17,201719,8,576,584,13322,4.3837261672
National,All,2016-17,201642,7,3178,3185,51441,6.1915592621
National,65 years and older,2014-15,201502,890,4730,5620,46358,12.123042409
National,65 years and older,2014-15,201520,9,2656,2665,36030,7.3966139328
National,18-64 years,2013-14,201415,23,639,662,12711,5.2080874833
National,18-64 years,2016-17,201708,110,713,823,13983,5.8857183723
National,65 years and older,2011-12,201146,2,2999,3001,35288,8.5043074133
National,All,2016-17,201724,19,3069,3088,50797,6.0790991594
National,0-17 years,2013-14,201426,0,13,13,724,1.7955801105
National,65 years and older,2014-15,201453,886,4222,5108,44689,11.430105843
National,All,2010-11,201116,32,3891,3923,47947,8.1819509041
National,18-64 years,2011-12,201202,2,699,701,12556,5.5829882128
National,18-64 years,2013-14,201406,195,938,1133,13685,8.2791377421
National,65 years and older,2016-17,201727,9,2296,2305,36482,6.3181843101
National,All,2014-15,201535,3,2941,2944,48754,6.038478894
National,0-17 years,2013-14,201438,1,16,17,699,2.4320457797
National,All,2015-16,201545,14,3228,3242,50746,6.3886808813
National,0-17 years,2009-10,201034,0,15,15,741,2.024291498
National,0-17 years,2011-12,201214,3,19,22,738,2.9810298103
National,0-17 years,2009-10,201032,0,9,9,795,1.1320754717
National,65 years and older,2012-13,201320,1,2729,2730,34566,7.8979343864
National,0-17 years,2014-15,201509,4,16,20,700,2.8571428571
National,65 years and older,2011-12,201226,0,2632,2632,33136,7.9430226944
National,18-64 years,2017-18,201743,8,605,613,13028,4.7052502303
National,18-64 years,2012-13,201247,1,578,579,12127,4.7744701905
National,18-64 years,2009-10,201003,18,714,732,12257,5.9720975769
National,18-64 years,2013-14,201414,16,682,698,12787,5.4586689607
National,65 years and older,2016-17,201650,36,3061,3097,41351,7.4895407608
National,65 years and older,2012-13,201307,167,4059,4226,40768,10.365973312
National,All,2017-18,201751,359,3983,4342,59505,7.2968658096
National,18-64 years,2015-16,201545,2,638,640,13056,4.9019607843
National,18-64 years,2010-11,201042,1,574,575,12047,4.7729725243
National,All,2014-15,201509,190,4546,4736,56502,8.3820041768
National,65 years and older,2015-16,201621,16,2580,2596,36752,7.0635611667
National,18-64 years,2015-16,201620,17,597,614,12945,4.7431440711
National,0-17 years,2011-12,201232,2,5,7,705,0.9929078014
National,18-64 years,2016-17,201647,5,577,582,13488,4.3149466192
National,0-17 years,2015-16,201540,0,13,13,688,1.8895348837
National,0-17 years,2012-13,201252,7,33,40,616,6.4935064935
National,All,2014-15,201507,285,4501,4786,56669,8.4455345956
National,18-64 years,2013-14,201342,3,568,571,12094,4.7213494295
National,18-64 years,2013-14,201405,242,943,1185,13595,8.7164398676
National,0-17 years,2009-10,201020,0,14,14,748,1.871657754
National,65 years and older,2012-13,201324,3,2717,2720,33576,8.1010245413
National,65 years and older,2015-16,201608,94,3379,3473,40845,8.5028767291
National,All,2010-11,201042,3,3423,3426,47054,7.2809963021
National,18-64 years,2016-17,201732,4,572,576,13343,4.3168702691
National,0-17 years,2011-12,201208,0,36,36,742,4.8517520216
National,65 years and older,2013-14,201348,12,2748,2760,36158,7.6331655512
National,18-64 years,2011-12,201141,1,564,565,12013,4.7032381587
National,0-17 years,2010-11,201116,6,23,29,702,4.1310541311
National,18-64 years,2010-11,201129,1,536,537,12253,4.3826001795
National,0-17 years,2013-14,201351,3,24,27,709,3.808180536
National,0-17 years,2010-11,201042,0,16,16,718,2.2284122563
National,18-64 years,2012-13,201306,39,748,787,13376,5.8836722488
National,65 years and older,2012-13,201336,1,2327,2328,32800,7.0975609756
National,0-17 years,2009-10,201017,0,23,23,771,2.9831387808
National,All,2010-11,201133,1,2980,2981,44994,6.6253278215
National,All,2009-10,201020,3,3413,3416,45516,7.5050531681
National,18-64 years,2010-11,201048,4,629,633,12244,5.1698791245
National,All,2015-16,201608,187,4232,4419,55198,8.0057248451
National,All,2011-12,201204,11,4227,4238,50163,8.4484580268
National,65 years and older,2010-11,201139,1,2609,2610,32861,7.942545875
National,18-64 years,2017-18,201746,14,630,644,13395,4.8077640911
National,65 years and older,2010-11,201110,82,3872,3954,37845,10.447879509
National,0-17 years,2011-12,201219,1,16,17,655,2.5954198473
National,65 years and older,2016-17,201703,329,3851,4180,44426,9.4089046954
National,All,2011-12,201221,13,3290,3303,46755,7.0644850818
National,All,2012-13,201305,392,5284,5676,56349,10.072938295
National,18-64 years,2013-14,201410,64,733,797,12970,6.1449498843
National,All,2013-14,201427,6,3000,3006,47435,6.3370928639
National,All,2010-11,201040,5,3258,3263,46550,7.0096670247
National,18-64 years,2013-14,201409,80,723,803,13025,6.1650671785
National,All,2015-16,201606,93,3990,4083,55458,7.3623282484
National,18-64 years,2014-15,201501,109,804,913,14202,6.428672018
National,65 years and older,2013-14,201402,153,3860,4013,40603,9.8835061449
National,All,2014-15,201519,22,3475,3497,50710,6.8960757247
National,All,2010-11,201127,1,3189,3190,45678,6.9836682867
National,All,2009-10,201001,37,4428,4465,51018,8.7518130856
National,0-17 years,2011-12,201216,0,19,19,717,2.649930265
National,0-17 years,2016-17,201726,1,5,6,684,0.8771929825
